concept_id,concept_name,industry,problem_area,target_user,delivery_complexity,strategic_fit,n_demos,n_trials,demand_intensity,engagement_depth,engagement_depth_norm,feasibility_risk,repeatability,segment_similarity,revenue_potential,confidence,follow_up_rate,avg_pilot_interest,avg_objection_count_text,capability_request_rate,positive_comment_ratio
CONCEPT-001,Revenue Intelligence Platform,Healthcare,Revenue Forecasting,Data Science Lead,4,0.626,20,4,0.2857,10.51725,0.07774549130874346,0.593385,0.13241666666666668,0.9737442107740577,0.30585,0.7310000000000001,0.3,0.21400000000000002,2.0556,0.9444,0.0
CONCEPT-002,Logistics Optimization Engine,Manufacturing,Supply Chain Optimization,Operations Manager,4,0.463,34,0,0.14581617647058825,0.0,0.0,0.6213220588235294,0.0,0.9856821025357267,0.19363529411764707,0.8701058823529413,0.0,0.1096470588235294,2.1786,0.9286,0.0
CONCEPT-003,Intelligent Document Router,Financial Services,Document Intelligence,CIO / CTO,3,0.643,17,6,0.44015,119.13294117647058,0.8806531215688833,0.4155117647058824,0.2283333333333333,0.9605278464659434,0.3770058823529412,0.7712,0.47058823529411764,0.35776470588235293,1.3125,0.9375,0.1875
CONCEPT-004,Anomaly Alert System,Manufacturing,Predictive Maintenance,Operations Manager,4,0.538,31,10,0.3694709677419355,16.072926267281105,0.11881409583484061,0.5838580645161291,0.20629032258064514,0.9114493709718886,0.34332903225806455,1.0,0.45161290322580644,0.26806451612903226,2.04,0.96,0.04
CONCEPT-005,Smart Workforce Copilot,Public Sector,Workforce Productivity,Business Analyst,2,0.416,34,16,0.5042838235294118,135.27794117647056,1.0,0.24036764705882352,0.2959803921568627,0.9457260926810097,0.4219205882352941,0.9897058823529412,0.5588235294117647,0.4206470588235294,1.9333,0.8667,0.0
CONCEPT-006,Customer Insight Platform,Telecommunications,Customer Service Automation,Customer Success Director,3,0.583,26,6,0.3495038461538461,8.764423076923077,0.06478826481761617,0.42717307692307693,0.1335897435897436,0.8906053390023725,0.2945269230769231,0.8981384615384616,0.3076923076923077,0.21753846153846151,1.9545,1.0,0.1364
CONCEPT-007,Fraud Investigation Assistant,Financial Services,Fraud Detection,Data Science Lead,4,0.863,16,1,0.16711562500000002,2.1656249999999995,0.016008707562860776,0.61153125,0.024270833333333332,0.9414280289606344,0.1902375,0.6037250000000001,0.0625,0.115125,2.4286,0.9286,0.0
CONCEPT-008,Smart Maintenance Copilot,Energy & Utilities,Predictive Maintenance,Operations Manager,4,0.532,14,1,0.20523928571428574,0.45357142857142857,0.0033528853605167084,0.6124071428571429,0.05273809523809523,0.9620871732648305,0.23153571428571426,0.5694,0.14285714285714285,0.14607142857142857,2.2308,0.9231,0.0
CONCEPT-009,Productivity Insight Engine,Public Sector,Workforce Productivity,CIO / CTO,3,0.331,15,0,0.22716,0.0,0.0,0.43936000000000003,0.0,0.9256339137665182,0.25880000000000003,0.5606666666666666,0.0,0.14213333333333333,1.75,0.75,0.0
CONCEPT-010,Workflow Intelligence Platform,Energy & Utilities,Workforce Productivity,CIO / CTO,3,0.33,16,4,0.441690625,40.95,0.30271010664318565,0.40942187500000005,0.19447916666666665,0.9592101491657304,0.43546875,0.7036,0.375,0.3606875,1.7857,0.9286,0.0
CONCEPT-011,Predictive Revenue Assistant,Telecommunications,Revenue Forecasting,Business Analyst,3,0.792,17,11,0.46753823529411764,99.3835294117647,0.7346617530356891,0.4033617647058824,0.3486274509803921,0.9238599453888942,0.4272,0.8806117647058824,0.6470588235294118,0.4409411764705883,2.0625,0.875,0.0625
CONCEPT-012,Customer Resolution Engine,Healthcare,Customer Service Automation,Operations Manager,2,0.469,23,12,0.5001739130434782,68.85347826086957,0.5089778692821023,0.22668695652173912,0.30268115942028984,0.8919789543744133,0.4374478260869566,1.0,0.5652173913043478,0.37330434782608696,1.3,1.0,0.15
