portfolio_rank,concept_id,concept_name,industry,readiness_score,confidence_score,recommended_outcome,cluster_profile,baseline_readiness_score,ml_confidence_score,demand_intensity,engagement_depth_norm,feasibility_risk,repeatability,segment_similarity,revenue_potential,strategic_fit,positive_comment_ratio,capability_request_rate,avg_objection_count_text,key_evidence
1,CONCEPT-003,Intelligent Document Router,Financial Services,64.2,0.811,Customer Pilot,High Demand / Low Effort (3),54.8,0.86,0.44015,0.8806531215688833,0.4155117647058824,0.2283333333333333,0.9605278464659434,0.3770058823529412,0.643,0.1875,0.9375,1.3125,deep sandbox engagement (norm=0.88); demand consistent across segments; high follow-up rate (47%); negative customer sentiment (19%); high capability request rate (94%)
2,CONCEPT-005,Smart Workforce Copilot,Public Sector,63.8,0.902,Customer Pilot,High Demand / Low Effort,57.1,0.795,0.5042838235294118,1.0,0.2403676470588235,0.2959803921568627,0.9457260926810096,0.4219205882352941,0.416,0.0,0.8667,1.9333,strong demand intensity (0.50); deep sandbox engagement (norm=1.00); demand consistent across segments; solid revenue potential (0.42); favorable feasibility profile (0.24)
3,CONCEPT-012,Customer Resolution Engine,Healthcare,62.0,0.928,Customer Pilot,High Demand / Low Effort,52.6,0.84,0.5001739130434782,0.5089778692821023,0.2266869565217391,0.3026811594202898,0.8919789543744133,0.4374478260869566,0.469,0.15,1.0,1.3,strong demand intensity (0.50); deep sandbox engagement (norm=0.51); repeatable usage patterns (0.30); solid revenue potential (0.44); favorable feasibility profile (0.23)
4,CONCEPT-011,Predictive Revenue Assistant,Telecommunications,58.6,0.779,Reusable Asset,High Demand / Low Effort (3),55.7,0.655,0.4675382352941176,0.7346617530356891,0.4033617647058824,0.3486274509803921,0.9238599453888942,0.4272,0.792,0.0625,0.875,2.0625,strong demand intensity (0.47); deep sandbox engagement (norm=0.73); repeatable usage patterns (0.35); demand consistent across segments; solid revenue potential (0.43)
5,CONCEPT-010,Workflow Intelligence Platform,Energy & Utilities,55.0,0.751,Customer Pilot,High Demand / Low Effort (3),43.9,0.81,0.441690625,0.3027101066431856,0.409421875,0.1944791666666666,0.9592101491657304,0.43546875,0.33,0.0,0.9286,1.7857,demand consistent across segments; solid revenue potential (0.44); negative customer sentiment (0%); high capability request rate (93%)
6,CONCEPT-001,Revenue Intelligence Platform,Healthcare,53.1,0.821,Archive,Low Demand / High Effort (2),36.0,0.93,0.2857,0.0777454913087434,0.593385,0.1324166666666666,0.9737442107740576,0.30585,0.626,0.0,0.9444,2.0556,minimal sandbox engagement; demand consistent across segments; elevated feasibility risk (0.59); negative customer sentiment (0%); high capability request rate (94%)
7,CONCEPT-008,Smart Maintenance Copilot,Energy & Utilities,50.6,0.756,Archive,Low Demand / High Effort,30.0,0.985,0.2052392857142857,0.0033528853605167,0.6124071428571429,0.0527380952380952,0.9620871732648304,0.2315357142857142,0.532,0.0,0.9231,2.2308,weak demand intensity (0.21); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.23); elevated feasibility risk (0.61)
8,CONCEPT-004,Anomaly Alert System,Manufacturing,50.5,0.901,Archive,Low Demand / High Effort (2),38.7,0.78,0.3694709677419355,0.1188140958348406,0.5838580645161291,0.2062903225806451,0.9114493709718886,0.3433290322580645,0.538,0.04,0.96,2.04,demand consistent across segments; elevated feasibility risk (0.58); high follow-up rate (45%); negative customer sentiment (4%); high capability request rate (96%)
9,CONCEPT-007,Fraud Investigation Assistant,Financial Services,50.2,0.76,Archive,Low Demand / High Effort,31.0,0.95,0.167115625,0.0160087075628607,0.61153125,0.0242708333333333,0.9414280289606344,0.1902375,0.863,0.0,0.9286,2.4286,weak demand intensity (0.17); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.19); elevated feasibility risk (0.61)
10,CONCEPT-002,Logistics Optimization Engine,Manufacturing,48.0,0.915,Archive,Low Demand / High Effort,27.0,0.97,0.1458161764705882,0.0,0.6213220588235294,0.0,0.9856821025357267,0.193635294117647,0.463,0.0,0.9286,2.1786,weak demand intensity (0.15); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.19); elevated feasibility risk (0.62)
11,CONCEPT-009,Productivity Insight Engine,Public Sector,46.2,0.693,Archive,Low Demand / High Effort,29.3,0.855,0.22716,0.0,0.43936,0.0,0.9256339137665182,0.2588,0.331,0.0,0.75,1.75,weak demand intensity (0.23); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.26); limited evidence confidence (0.56)
12,CONCEPT-006,Customer Insight Platform,Telecommunications,45.1,0.771,Incubate,Low Demand / High Effort (2),38.1,0.615,0.3495038461538461,0.0647882648176161,0.4271730769230769,0.1335897435897436,0.8906053390023725,0.2945269230769231,0.583,0.1364,1.0,1.9545,minimal sandbox engagement; negative customer sentiment (14%); high capability request rate (100%)
