customer_id,concept_id,trial_sessions,feature_clicks,repeat_usage_days,active_users,time_spent,abandoned_features
CUST-0025,CONCEPT-001,2,16,0.0,1,9.5,0
CUST-0047,CONCEPT-002,9,29,3.0,3,20.6,1
CUST-0075,CONCEPT-002,6,43,5.0,1,75.7,3
CUST-0042,CONCEPT-002,1,37,6.0,1,42.4,3
CUST-0058,CONCEPT-002,5,38,3.0,1,27.4,2
CUST-0026,CONCEPT-002,4,35,7.0,2,100.3,4
CUST-0025,CONCEPT-002,4,36,3.0,6,61.8,5
CUST-0019,CONCEPT-003,4,38,8.0,4,100.2,5
CUST-0064,CONCEPT-003,4,26,4.0,3,19.4,3
CUST-0051,CONCEPT-003,7,46,4.0,2,12.3,2
CUST-0032,CONCEPT-003,7,59,5.0,2,45.1,2
CUST-0014,CONCEPT-003,5,39,4.0,2,78.9,4
CUST-0056,CONCEPT-004,4,56,6.0,2,45.7,1
CUST-0062,CONCEPT-004,8,40,5.0,2,55.1,5
CUST-0053,CONCEPT-004,11,38,4.0,2,92.9,6
CUST-0045,CONCEPT-004,11,39,6.0,4,14.0,4
CUST-0063,CONCEPT-004,8,45,6.0,5,24.1,2
CUST-0012,CONCEPT-004,6,45,5.0,2,29.2,2
CUST-0029,CONCEPT-004,6,47,4.0,3,38.8,6
CUST-0080,CONCEPT-004,7,38,3.0,2,14.1,5
CUST-0008,CONCEPT-004,10,47,4.0,1,22.8,0
CUST-0023,CONCEPT-004,7,44,4.0,5,186.7,3
CUST-0031,CONCEPT-004,5,44,9.0,1,38.0,3
CUST-0048,CONCEPT-004,4,45,2.0,1,77.1,2
CUST-0023,CONCEPT-005,3,31,3.0,4,57.7,3
CUST-0075,CONCEPT-005,4,37,6.0,4,18.4,0
CUST-0026,CONCEPT-005,4,29,5.0,3,30.8,5
CUST-0047,CONCEPT-005,4,35,5.0,4,92.3,1
CUST-0050,CONCEPT-005,6,34,3.0,3,80.2,2
CUST-0009,CONCEPT-005,8,27,4.0,1,105.0,2
CUST-0064,CONCEPT-005,5,30,8.0,2,32.7,3
CUST-0036,CONCEPT-006,6,43,3.0,8,65.6,4
CUST-0010,CONCEPT-006,8,26,3.0,5,70.1,3
CUST-0040,CONCEPT-006,5,34,3.0,2,20.5,2
CUST-0030,CONCEPT-006,5,28,3.0,3,32.9,2
CUST-0042,CONCEPT-007,2,50,6.0,1,19.8,4
CUST-0050,CONCEPT-007,2,44,3.0,3,65.7,0
CUST-0005,CONCEPT-007,6,57,5.0,1,21.6,3
CUST-0058,CONCEPT-007,2,32,4.0,3,25.2,2
CUST-0055,CONCEPT-007,3,31,4.0,4,12.2,2
CUST-0079,CONCEPT-007,4,30,2.0,1,42.6,4
CUST-0040,CONCEPT-007,7,35,,4,71.2,3
CUST-0063,CONCEPT-007,5,24,4.0,2,18.4,1
CUST-0050,CONCEPT-008,1,35,5.0,2,22.6,4
CUST-0055,CONCEPT-008,3,34,4.0,1,62.9,5
CUST-0024,CONCEPT-008,3,20,1.0,2,40.8,2
CUST-0077,CONCEPT-008,8,34,2.0,2,23.1,1
CUST-0017,CONCEPT-009,2,29,4.0,1,22.7,2
CUST-0042,CONCEPT-010,3,30,2.0,1,,5
CUST-0002,CONCEPT-010,3,40,,4,32.5,2
CUST-0057,CONCEPT-010,5,49,1.0,4,21.9,3
CUST-0045,CONCEPT-010,14,39,0.0,3,20.0,4
CUST-0001,CONCEPT-011,6,36,2.0,3,31.5,2
CUST-0057,CONCEPT-011,2,18,,1,16.4,4
CUST-0022,CONCEPT-012,9,47,9.0,3,21.5,3
CUST-0062,CONCEPT-012,9,49,4.0,6,41.8,1
CUST-0019,CONCEPT-012,3,43,5.0,3,65.5,5
CUST-0039,CONCEPT-012,5,51,3.0,2,44.9,3
CUST-0065,CONCEPT-012,4,38,5.0,2,45.6,3
CUST-0038,CONCEPT-012,6,48,3.0,4,15.4,3
CUST-0068,CONCEPT-012,2,56,3.0,8,93.0,6
CUST-0010,CONCEPT-012,12,43,2.0,2,22.4,3
